method_a,method_b,pearson,mad
raw,gene_median,,0.9177278876304626
raw,svd_impute,,0.30326783657073975
raw,graph_smooth,,0.31894320249557495
raw,MAGIC,,0.3643939197063446
raw,scVI,,0.3759123384952545
raw,latent_truth_scvi_select,,0.5556173920631409
raw,safe_latent_truth_scvi_select,,0.458649218082428
gene_median,svd_impute,0.20238603904039523,0.6364315152168274
gene_median,graph_smooth,0.1906187335307617,0.6290562748908997
gene_median,MAGIC,0.26341519115065354,0.5873159170150757
gene_median,scVI,0.25524020492005883,0.5767732262611389
gene_median,latent_truth_scvi_select,0.06751825886681737,1.4612268209457397
gene_median,safe_latent_truth_scvi_select,0.4010784909594897,0.607835054397583
svd_impute,graph_smooth,0.7731730669868832,0.1500922590494156
svd_impute,MAGIC,0.8771515329716268,0.09907344728708267
svd_impute,scVI,0.8690489831635775,0.10877859592437744
svd_impute,latent_truth_scvi_select,0.7030170563575524,0.8469781279563904
svd_impute,safe_latent_truth_scvi_select,0.681108582189785,0.20721317827701569
graph_smooth,MAGIC,0.8434917192000584,0.1374649703502655
graph_smooth,scVI,0.8450597551843817,0.14100754261016846
graph_smooth,latent_truth_scvi_select,0.6601157034323105,0.8625984191894531
graph_smooth,safe_latent_truth_scvi_select,0.6745573695174673,0.19458505511283875
MAGIC,scVI,0.941310991194654,0.06649540364742279
MAGIC,latent_truth_scvi_select,0.6669051223639502,0.9075983762741089
MAGIC,safe_latent_truth_scvi_select,0.7175237694979081,0.15624673664569855
scVI,latent_truth_scvi_select,0.6571071695588157,0.9193054437637329
scVI,safe_latent_truth_scvi_select,0.7172637180729415,0.14737796783447266
latent_truth_scvi_select,safe_latent_truth_scvi_select,0.508956441977722,0.8989165425300598
