precision,recall
0.23706896551724138,1.0
0.23809523809523808,1.0
0.2391304347826087,1.0
0.24017467248908297,1.0
0.2412280701754386,1.0
0.2422907488986784,1.0
0.24336283185840707,1.0
0.24444444444444444,1.0
0.24553571428571427,1.0
0.242152466367713,0.9818181818181818
0.24324324324324326,0.9818181818181818
0.24434389140271492,0.9818181818181818
0.24545454545454545,0.9818181818181818
0.2465753424657534,0.9818181818181818
0.24770642201834864,0.9818181818181818
0.24423963133640553,0.9636363636363636
0.24537037037037038,0.9636363636363636
0.24651162790697675,0.9636363636363636
0.24299065420560748,0.9454545454545454
0.24413145539906103,0.9454545454545454
0.24528301886792453,0.9454545454545454
0.24644549763033174,0.9454545454545454
0.24761904761904763,0.9454545454545454
0.24880382775119617,0.9454545454545454
0.25,0.9454545454545454
0.25120772946859904,0.9454545454545454
0.2524271844660194,0.9454545454545454
0.24878048780487805,0.9272727272727272
0.25,0.9272727272727272
0.2512315270935961,0.9272727272727272
0.2524752475247525,0.9272727272727272
0.2537313432835821,0.9272727272727272
0.255,0.9272727272727272
0.2562814070351759,0.9272727272727272
0.25252525252525254,0.9090909090909091
0.24873096446700507,0.8909090909090909
0.25,0.8909090909090909
0.2512820512820513,0.8909090909090909
0.24742268041237114,0.8727272727272727
0.24870466321243523,0.8727272727272727
0.24479166666666666,0.8545454545454545
0.24607329842931938,0.8545454545454545
0.24736842105263157,0.8545454545454545
0.24338624338624337,0.8363636363636363
0.24468085106382978,0.8363636363636363
0.24598930481283424,0.8363636363636363
0.24193548387096775,0.8181818181818182
0.24324324324324326,0.8181818181818182
0.24456521739130435,0.8181818181818182
0.2459016393442623,0.8181818181818182
0.24725274725274726,0.8181818181818182
0.24861878453038674,0.8181818181818182
0.25,0.8181818181818182
0.25139664804469275,0.8181818181818182
0.25280898876404495,0.8181818181818182
0.2542372881355932,0.8181818181818182
0.2556818181818182,0.8181818181818182
0.2571428571428571,0.8181818181818182
0.25862068965517243,0.8181818181818182
0.2543352601156069,0.8
0.2558139534883721,0.8
0.2573099415204678,0.8
0.2529411764705882,0.7818181818181819
0.25443786982248523,0.7818181818181819
0.25595238095238093,0.7818181818181819
0.25748502994011974,0.7818181818181819
0.25903614457831325,0.7818181818181819
0.2545454545454545,0.7636363636363637
0.25609756097560976,0.7636363636363637
0.25766871165644173,0.7636363636363637
0.25925925925925924,0.7636363636363637
0.2608695652173913,0.7636363636363637
0.2625,0.7636363636363637
0.2641509433962264,0.7636363636363637
0.26582278481012656,0.7636363636363637
0.267515923566879,0.7636363636363637
0.2692307692307692,0.7636363636363637
0.2709677419354839,0.7636363636363637
0.2727272727272727,0.7636363636363637
0.27450980392156865,0.7636363636363637
0.27631578947368424,0.7636363636363637
0.2781456953642384,0.7636363636363637
0.28,0.7636363636363637
0.28187919463087246,0.7636363636363637
0.28378378378378377,0.7636363636363637
0.2857142857142857,0.7636363636363637
0.2876712328767123,0.7636363636363637
0.2896551724137931,0.7636363636363637
0.2916666666666667,0.7636363636363637
0.2937062937062937,0.7636363636363637
0.29577464788732394,0.7636363636363637
0.2978723404255319,0.7636363636363637
0.3,0.7636363636363637
0.302158273381295,0.7636363636363637
0.30434782608695654,0.7636363636363637
0.30656934306569344,0.7636363636363637
0.3014705882352941,0.7454545454545455
0.3037037037037037,0.7454545454545455
0.30597014925373134,0.7454545454545455
0.3082706766917293,0.7454545454545455
0.3106060606060606,0.7454545454545455
0.31297709923664124,0.7454545454545455
0.3153846153846154,0.7454545454545455
0.3178294573643411,0.7454545454545455
0.3203125,0.7454545454545455
0.3228346456692913,0.7454545454545455
0.3253968253968254,0.7454545454545455
0.32,0.7272727272727273
0.3225806451612903,0.7272727272727273
0.3252032520325203,0.7272727272727273
0.32786885245901637,0.7272727272727273
0.3305785123966942,0.7272727272727273
0.3333333333333333,0.7272727272727273
0.33613445378151263,0.7272727272727273
0.3389830508474576,0.7272727272727273
0.3418803418803419,0.7272727272727273
0.3448275862068966,0.7272727272727273
0.34782608695652173,0.7272727272727273
0.34210526315789475,0.7090909090909091
0.34513274336283184,0.7090909090909091
0.3482142857142857,0.7090909090909091
0.35135135135135137,0.7090909090909091
0.35454545454545455,0.7090909090909091
0.3486238532110092,0.6909090909090909
0.35185185185185186,0.6909090909090909
0.35514018691588783,0.6909090909090909
0.3584905660377358,0.6909090909090909
0.3619047619047619,0.6909090909090909
0.36538461538461536,0.6909090909090909
0.3592233009708738,0.6727272727272727
0.3627450980392157,0.6727272727272727
0.36633663366336633,0.6727272727272727
0.37,0.6727272727272727
0.37373737373737376,0.6727272727272727
0.3673469387755102,0.6545454545454545
0.3711340206185567,0.6545454545454545
0.3645833333333333,0.6363636363636364
0.3684210526315789,0.6363636363636364
0.3723404255319149,0.6363636363636364
0.3655913978494624,0.6181818181818182
0.3695652173913043,0.6181818181818182
0.37362637362637363,0.6181818181818182
0.37777777777777777,0.6181818181818182
0.38202247191011235,0.6181818181818182
0.38636363636363635,0.6181818181818182
0.39080459770114945,0.6181818181818182
0.3953488372093023,0.6181818181818182
0.38823529411764707,0.6
0.39285714285714285,0.6
0.39759036144578314,0.6
0.4024390243902439,0.6
0.4074074074074074,0.6
0.4125,0.6
0.4177215189873418,0.6
0.4230769230769231,0.6
0.42857142857142855,0.6
0.4342105263157895,0.6
0.44,0.6
0.44594594594594594,0.6
0.4520547945205479,0.6
0.4583333333333333,0.6
0.4507042253521127,0.5818181818181818
0.45714285714285713,0.5818181818181818
0.463768115942029,0.5818181818181818
0.47058823529411764,0.5818181818181818
0.47761194029850745,0.5818181818181818
0.48484848484848486,0.5818181818181818
0.49230769230769234,0.5818181818181818
0.5,0.5818181818181818
0.5079365079365079,0.5818181818181818
0.5161290322580645,0.5818181818181818
0.5081967213114754,0.5636363636363636
0.5166666666666667,0.5636363636363636
0.5084745762711864,0.5454545454545454
0.5,0.5272727272727272
0.5087719298245614,0.5272727272727272
0.5,0.509090909090909
0.4909090909090909,0.4909090909090909
0.5,0.4909090909090909
0.5094339622641509,0.4909090909090909
0.5192307692307693,0.4909090909090909
0.5294117647058824,0.4909090909090909
0.52,0.4727272727272727
0.5306122448979592,0.4727272727272727
0.5416666666666666,0.4727272727272727
0.5531914893617021,0.4727272727272727
0.5652173913043478,0.4727272727272727
0.5555555555555556,0.45454545454545453
0.5681818181818182,0.45454545454545453
0.5813953488372093,0.45454545454545453
0.5952380952380952,0.45454545454545453
0.6097560975609756,0.45454545454545453
0.6,0.43636363636363634
0.6153846153846154,0.43636363636363634
0.631578947368421,0.43636363636363634
0.6486486486486487,0.43636363636363634
0.6666666666666666,0.43636363636363634
0.6857142857142857,0.43636363636363634
0.6764705882352942,0.41818181818181815
0.6666666666666666,0.4
0.6875,0.4
0.6774193548387096,0.38181818181818183
0.6666666666666666,0.36363636363636365
0.6896551724137931,0.36363636363636365
0.7142857142857143,0.36363636363636365
0.7407407407407407,0.36363636363636365
0.7692307692307693,0.36363636363636365
0.76,0.34545454545454546
0.75,0.32727272727272727
0.7391304347826086,0.3090909090909091
0.7727272727272727,0.3090909090909091
0.8095238095238095,0.3090909090909091
0.8,0.2909090909090909
0.8421052631578947,0.2909090909090909
0.8888888888888888,0.2909090909090909
0.9411764705882353,0.2909090909090909
1.0,0.2909090909090909
1.0,0.2727272727272727
1.0,0.2545454545454545
1.0,0.23636363636363636
1.0,0.21818181818181817
1.0,0.2
1.0,0.18181818181818182
1.0,0.16363636363636364
1.0,0.14545454545454545
1.0,0.12727272727272726
1.0,0.10909090909090909
1.0,0.09090909090909091
1.0,0.07272727272727272
1.0,0.05454545454545454
1.0,0.03636363636363636
1.0,0.01818181818181818
1.0,0.0
