dataset,method,metric,mean,std,min,max,n
CBMC,safe_latent_truth_scvi_select,precision,0.5909880758128349,0.01621348434276073,0.566037735742257,0.607843137135717,5
CBMC,safe_latent_truth_scvi_select,recall,0.3599999999576471,0.006443794793420352,0.35294117642906575,0.36470588231003465,5
CBMC,safe_latent_truth_scvi_select,f1,0.44738789781499405,0.008215409713994879,0.4347826039014913,0.455882348186635,5
CBMC,safe_latent_truth_scvi_select,coverage_fusion,0.10000400000000001,2.2360679774958195e-06,0.1,0.100005,5
CBMC,safe_latent_truth_scvi_select,rare_support,0.013222836095764273,0.0006332872509778788,0.012430939226519336,0.013996316758747698,5
CBMC,scVI,precision,0.6666666665185185,0.0,0.6666666665185185,0.6666666665185185,5
CBMC,scVI,recall,0.35294117642906575,0.0,0.35294117642906575,0.35294117642906575,5
CBMC,scVI,f1,0.4615384569408284,0.0,0.4615384569408284,0.4615384569408284,5
PBMC,safe_latent_truth_scvi_select,precision,0.648636364515869,0.04365144517406185,0.578124999909668,0.6909090907834711,5
PBMC,safe_latent_truth_scvi_select,recall,0.32456140348030166,0.022364120671690798,0.2894736841851339,0.35087719295167746,5
PBMC,safe_latent_truth_scvi_select,f1,0.43212214806163896,0.02514195685291086,0.3999999956804408,0.4624277411166428,5
PBMC,safe_latent_truth_scvi_select,coverage_fusion,0.100001,2.2360679774958195e-06,0.1,0.100005,5
PBMC,safe_latent_truth_scvi_select,rare_support,0.05995030026920688,0.005121753711278055,0.053789604472975774,0.06600745495961897,5
PBMC,scVI,precision,0.7045454543853306,0.0,0.7045454543853306,0.7045454543853306,5
PBMC,scVI,recall,0.27192982453755005,0.0,0.27192982453755005,0.27192982453755005,5
PBMC,scVI,f1,0.39240505922288105,0.0,0.39240505922288105,0.39240505922288105,5
MNC,safe_latent_truth_scvi_select,precision,0.5938690034882114,0.021989230185763792,0.5609756096192743,0.6222222220839506,5
MNC,safe_latent_truth_scvi_select,recall,0.46909090900561984,0.03497342556031635,0.41818181810578514,0.5090909089983471,5
MNC,safe_latent_truth_scvi_select,f1,0.5239766168541238,0.030151527995569968,0.4791666616731771,0.559999994938,5
MNC,safe_latent_truth_scvi_select,coverage_fusion,0.10001199999999999,7.582875444053186e-06,0.100005,0.100025,5
MNC,safe_latent_truth_scvi_select,rare_support,0.03981084939329051,0.000825966224913141,0.03836545324768023,0.040417558886509636,5
MNC,scVI,precision,0.6486486484733381,0.0,0.6486486484733381,0.6486486484733381,5
MNC,scVI,recall,0.4363636362842975,6.206335383118183e-17,0.43636363628429753,0.43636363628429753,5
MNC,scVI,f1,0.52173912551276,0.0,0.52173912551276,0.52173912551276,5
